screen_name,name,total_likes,total_retweets,num_posts,img_url
ansgar,Ansgar Wolsing,154,40,11,images/_ansgar.jpg
ronycoelho,Rony Coelho,407,171,30,images/_ronycoelho.jpg
a_lipphardt,Anthony Lipphardt,150,44,17,images/a_lipphardt.jpg
adriaaaaaaan,adriaaaaaaan,239,74,16,images/adriaaaaaaan.jpg
aGricolaMZ,George Moroz,94,47,11,images/aGricolaMZ.jpg
AlDatavizguy,Allen Hillery,297,79,48,images/AlDatavizguy.jpg
allisonkoh_,Allison Koh (she/her),586,110,13,images/allisonkoh_.jpg
alyssastweeting,Alyssa,422,70,16,images/alyssastweeting.jpg
Andy_A_Baker,Andy Baker,393,97,26,images/Andy_A_Baker.jpg
annapurani93,Annapurani,847,227,36,images/annapurani93.jpg
avrodrigues_,Arthur V Rodrigues,526,102,19,images/avrodrigues_.jpg
berndatte_john,Berndatte John,79,59,15,images/berndatte_john.jpg
berzinastella,Stella Bērziņa,509,66,13,images/berzinastella.jpg
birusod,Oumar Diallo,108,41,13,images/birusod.jpg
BjnNowak,Benjamin Nowak,1102,206,32,images/BjnNowak.jpg
BlakeRobMills,Blake Robert Mills,1352,206,12,images/BlakeRobMills.jpg
cararthompson,Cara Thompson,450,70,12,images/cararthompson.jpg
CedScherer,Cédric Scherer,1753,231,31,images/CedScherer.jpg
CharlieGallaghr,Charlie Gallagher,736,119,14,images/CharlieGallaghr.jpg
cnicault,Christophe Nicault,2962,463,39,images/cnicault.jpg
CSHoggard,Dr Christian Hoggard,346,73,12,images/CSHoggard.jpg
DanNdanuko,Dan Mungai,115,37,21,images/DanNdanuko.jpg
danoehm,Dan Oehm,299,87,22,images/danoehm.jpg
datadavidz,David Zoller,166,36,14,images/datadavidz.jpg
datasciencejenn,jenn schilling,1317,254,44,images/datasciencejenn.jpg
DerFredo,Thomas 'Fredo' Hütter,12,42,22,images/DerFredo.jpg
Destiny_Smilez,mwah,601,67,16,images/Destiny_Smilez.jpg
dosullivan019,Denise O'Sullivan,152,48,12,images/dosullivan019.jpg
drob,David Robinson,824,170,32,images/drob.jpg
efranke7282,Erin Franke,341,71,19,images/efranke7282.jpg
EtienneBacher,Etienne Bacher,133,62,15,images/EtienneBacher.jpg
FGazzelloni,Federica Gazzelloni®,687,301,61,images/FGazzelloni.jpg
francisc0o_o0,Francisco,143,41,11,images/francisc0o_o0.jpg
GDataScience1,Tony Galvan,119,69,18,images/GDataScience1.jpg
geokaramanis,Georgios Karamanis,8276,1074,90,images/geokaramanis.jpg
GoldenB16117397,goldenboy,170,39,11,images/GoldenB16117397.jpg
GrabowMarius,Marius Grabow,188,35,11,images/GrabowMarius.jpg
Grphic_desginer,Waqas Ali,117,364,20,images/Grphic_desginer.jpg
grupodabia,DABIA,147,83,26,images/grupodabia.jpg
haifabmes,haifa ben meassaoud,342,102,17,images/haifabmes.jpg
Hao_and_Y,Hao Ye,118,36,17,images/Hao_and_Y.jpg
hasdid,Yohan J. Rodríguez,17,28,13,images/hasdid.jpg
Iago67522285,Iago,113,76,19,images/Iago67522285.jpg
ianagutierrez,Ian Gutierrez,140,37,13,images/ianagutierrez.jpg
IcaroBSC,Ícaro Bernardes,279,89,14,images/IcaroBSC.jpg
Indescribled,Indescribled,167,68,26,images/Indescribled.jpg
issa_madjid,Abdoul Madjid,2712,368,37,images/issa_madjid.jpg
